,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
185,Root Beer,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/000/000/702/0254/front.16.400.jpg,215.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.2,13.6,,,,,,,,,0.0,0.0,,,,0.0616,0.0242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.0,3.0,,
190,Thé noir aromatisé violette et fleurs,en:beverages,Beverages,,17.0,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0.1,,,,,,,,,,0.1,,,,0.001,0.000393701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,0.0,,
191,Thé de Noël aromatisé orange-cannelle,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/000/001/009/0206/front.5.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,Côtes du Rhône Villages 2014,en:beverages,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
231,"Pepsi, Nouveau goût !",en:beverages,Beverages,http://en.openfoodfacts.org/images/products/000/004/060/8754/front.5.400.jpg,177.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,10.4,,,,,,,,,0.0,0.0,,,,0.0254,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,,
238,Blle Pet 50CL Coca Cola Cherry,en:beverages,Beverages,,180.0,,0.1,0.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.7,10.7,,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,2.0,,
249,7Up,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/000/008/717/7756/front.5.400.jpg,177.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.4,10.4,,,,,,,,,,0.0,,,,0.1,0.039370079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0,2.0,,
424,Pepsi,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/000/088/610/0252/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,en:beverages,Beverages,http://en.openfoodfacts.org/images/products/00024655/front.3.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
543,Yorkshire Gold,en:beverages,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
574,M&S Iced Tea Spanish Peach,en:beverages,Beverages,,130.0,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6,7.6,,,,,,,,,0.1,0.2,,,,0.03,0.011811024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,1.0,,
620,,en:beverages,Beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,Diet Sparkling Fiery Ginger Beer,en:beverages,Beverages,,4.0,,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,0.1,0.1,,,,0.08,0.031496063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,
698,Smoothie super Berry,en:beverages,Beverages,,364.0,,1.9,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.8,9.4,,,,,,,,,0.6,2.3,,,,0.05,0.019685038999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,2.0,,
