,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
187,Quiche Lorraine,en:meals,Meals,,478.0,,6.79,2.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0107,7.86,0.7140000000000001,,,,,,,,,0.35700000000000004,5.36,,,,0.499,0.196,,1.07e-05,,,,,0.000429,,,,,,,,,,,,0.0,,0.0286,,0.000643,,,,,,,,,,,,,,,,,,,2.0,2.0,,
479,Chicken pad thaï,en:meals,Meals,,619.0,,,0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9,,,,,,,,,1.1,8.4,,,,0.75,0.295275590551181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.0,-2.0,,
496,Clam Chowder A Condensed Soup,en:meals,Meals,,276.0,,1.64,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.008,9.02,0.82,,,,,,,,,0.8,4.1,,,,1.24968,0.4920000000000001,,0.0,,,,,0.003,,,,,,,,,,,,,,0.0,,0.00118,,,,,,,,,,,,,,,,,,,2.0,2.0,,
546,Pizza Parlanno,en:meals,Meals,http://en.openfoodfacts.org/images/products/00025157/front.6.400.jpg,1070.0,441.0,12.0,4.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0226,25.6,3.76,,,,,,,,,0.752,9.77,,,,1.22,0.481,,9.02e-05,,,,,0.00271,,,,,,,,,,,,,,0.113,,0.0008119999999999999,,,,,,,,,,,,,,,,,,,11.0,11.0,,
608,Mac 'n Cheese,en:meals,Meals,http://en.openfoodfacts.org/images/products/00036559/front.5.400.jpg,761.0,275.0,7.58,4.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0202,21.2,1.52,,,,,,,,,0.505,8.08,,,,0.757,0.298,,6.06e-05,,,,,0.0,,,,,,,,,,,,,,0.101,,0.000727,,,,,,,,,,,,,,,,,,,4.0,4.0,,
690,Creamy Chicken Pie,en:meals,Meals,http://en.openfoodfacts.org/images/products/00070430/front.12.400.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
716,"grilled Cajun chicken breast, spicy wedges & sour cream",en:meals,Meals,,354.0,,1.6,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,2.7,,,,,,,,,1.3,8.9,,,,0.25,0.0984251968503937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-4.0,,
775,Poulet Tikka Masala Et Riz Pilaf,en:meals,Meals,,619.0,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6,,,,,,,,,2.7,8.9,,,,0.63,0.248031496062992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-4.0,,
941,Pulled Pork & Chorizo Feijoada,en:meals,Meals,http://en.openfoodfacts.org/images/products/00090100/front.6.400.jpg,622.0,,4.4,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.0,0.5,,,,,,,,,2.2,10.0,,,,0.63,0.248031496062992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-4.0,-4.0,,
957,Roasted Vegetables Lasagne,en:meals,Meals,,427.0,,4.0,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,3.0,,,,,,,,,1.4,3.6,,,,0.530000000000001,0.208661417322835,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
9802,ratatouille provençale,en:meals,Meals,http://en.openfoodfacts.org/images/products/00114356/front.13.400.jpg,215.0,,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,4.0,,,,,,,,,2.5,1.0,,,,0.55,0.216535433070866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.0,-1.0,,
