,product_name,main_category,main_category_en,image_url,energy,energy_from_fat,fat,saturated_fat,butyric_acid,caproic_acid,caprylic_acid,capric_acid,lauric_acid,myristic_acid,palmitic_acid,stearic_acid,arachidic_acid,behenic_acid,lignoceric_acid,cerotic_acid,montanic_acid,melissic_acid,monounsaturated_fat,polyunsaturated_fat,omega_3_fat,alpha_linolenic_acid,eicosapentaenoic_acid,docosahexaenoic_acid,omega_6_fat,linoleic_acid,arachidonic_acid,gamma_linolenic_acid,dihomo_gamma_linolenic_acid,omega_9_fat,oleic_acid,elaidic_acid,gondoic_acid,mead_acid,erucic_acid,nervonic_acid,trans_fat,cholesterol,carbohydrates,sugars,sucrose,glucose,fructose,lactose,maltose,maltodextrins,starch,polyols,fiber,proteins,casein,serum_proteins,nucleotides,salt,sodium,alcohol,vitamin_a,beta_carotene,vitamin_d,vitamin_e,vitamin_k,vitamin_c,vitamin_b1,vitamin_b2,vitamin_pp,vitamin_b6,vitamin_b9,folates,vitamin_b12,biotin,pantothenic_acid,silica,bicarbonate,potassium,chloride,calcium,phosphorus,iron,magnesium,zinc,copper,manganese,fluoride,selenium,chromium,molybdenum,iodine,caffeine,taurine,ph,fruits_vegetables_nuts,fruits_vegetables_nuts_estimate,collagen_meat_protein_ratio,cocoa,chlorophyl,carbon_footprint,nutrition_score_fr,nutrition_score_uk,glycemic_index,water_hardness
0,100% Apple Juice,en:fruit-juices,Fruit juices,,197.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,11.67,11.0,,,,,,,,,,0.0,,,,0.00762,0.003,,,,,,,0.026,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,
1,100% Juice Unfiltered Apple From Concentrate,en:fruit-juices,Fruit juices,,192.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.25,11.25,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,-3.0,,
2,100% Juice Apple Cider,en:fruit-juices,Fruit juices,,192.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.67,11.67,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,,,,,,,,,,,,,0.108,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,-3.0,,
3,100% Apple Juice,en:fruit-juices,Fruit juices,,192.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.67,11.67,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,0.0325,,,,,,,,,,,,0.108,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,-3.0,,
4,"100% Juice, Apple",en:fruit-juices,Fruit juices,,192.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.67,11.67,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,0.0,,,,,,,,,,,,0.108,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,-3.0,,
5,100% Apple Juice,en:fruit-juices,Fruit juices,,209.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,11.67,11.67,,,,,,,,,0.0,0.0,,,,0.0381,0.015,,0.0,,,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,5.0,-3.0,,
6,100% Apple Juice,en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,10.83,,,,,,,,,,0.0,,,,0.0254,0.01,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,100% Apple Juice,en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,10.83,,,,,,,,,,0.0,,,,0.0254,0.01,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,"100% Juice, Apple",en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,12.5,10.83,,,,,,,,,,0.0,,,,0.0254,0.01,,,,,,,0.0325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,100% Apple Juice,en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67,11.67,,,,,,,,,,0.0,,,,0.0381,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,"Organic, Organic 100% Apple Juice",en:fruit-juices,Fruit juices,,209.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,12.5,10.0,,,,,,,,,0.4,0.0,,,,0.0,0.0,,1.26e-05,,,,,0.0005,,,,,,,,,,,,0.075,,0.0,,0.0003,,,,,,,,,,,,,,,,,,,4.0,-3.0,,
11,100% Apple Juice,en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,10.83,,,,,,,,,,0.0,,,,0.0254,0.01,,,,,,,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,"100% Apple Juice, Original",en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,10.83,,,,,,,,,,0.0,,,,0.0254,0.01,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,100% Apple Juice,en:fruit-juices,Fruit juices,,209.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.5,10.83,,,,,,,,,,0.0,,,,0.0254,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,100% Apple Juice,en:fruit-juices,Fruit juices,,192.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.67,11.67,,,,,,,,,,0.0,,,,0.0381,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
