,0
0,product_name
1,main_category
2,main_category_en
3,image_url
4,energy
5,energy-from-fat
6,fat
7,saturated-fat
8,butyric-acid
9,caproic-acid
10,caprylic-acid
11,capric-acid
12,lauric-acid
13,myristic-acid
14,palmitic-acid
15,stearic-acid
16,arachidic-acid
17,behenic-acid
18,lignoceric-acid
19,cerotic-acid
20,montanic-acid
21,melissic-acid
22,monounsaturated-fat
23,polyunsaturated-fat
24,omega-3-fat
25,alpha-linolenic-acid
26,eicosapentaenoic-acid
27,docosahexaenoic-acid
28,omega-6-fat
29,linoleic-acid
30,arachidonic-acid
31,gamma-linolenic-acid
32,dihomo-gamma-linolenic-acid
33,omega-9-fat
34,oleic-acid
35,elaidic-acid
36,gondoic-acid
37,mead-acid
38,erucic-acid
39,nervonic-acid
40,trans-fat
41,cholesterol
42,carbohydrates
43,sugars
44,sucrose
45,glucose
46,fructose
47,lactose
48,maltose
49,maltodextrins
50,starch
51,polyols
52,fiber
53,proteins
54,casein
55,serum-proteins
56,nucleotides
57,salt
58,sodium
59,alcohol
60,vitamin-a
61,beta-carotene
62,vitamin-d
63,vitamin-e
64,vitamin-k
65,vitamin-c
66,vitamin-b1
67,vitamin-b2
68,vitamin-pp
69,vitamin-b6
70,vitamin-b9
71,folates
72,vitamin-b12
73,biotin
74,pantothenic-acid
75,silica
76,bicarbonate
77,potassium
78,chloride
79,calcium
80,phosphorus
81,iron
82,magnesium
83,zinc
84,copper
85,manganese
86,fluoride
87,selenium
88,chromium
89,molybdenum
90,iodine
91,caffeine
92,taurine
93,ph
94,fruits-vegetables-nuts
95,fruits-vegetables-nuts-estimate
96,collagen-meat-protein-ratio
97,cocoa
98,chlorophyl
99,carbon-footprint
100,nutrition-score-fr
101,nutrition-score-uk
102,glycemic-index
103,water-hardness
